#TYPE System.Management.Automation.PSCustomObject
"FixedVersion","CVSSScore","path","text","version","hasJNDI","Vulnerable","pomLocation","CVE","ComputerName","JNDILocation"
"False","10.0","C:\Program Files (x86)\Arduino\lib\log4j-core-2.12.0.jar","#Created by Apache Maven 3.5.0
version=2.12.0
groupId=org.apache.logging.log4j
artifactId=log4j-core
","version=2.12.0","True","True","META-INF/maven/org.apache.logging.log4j/log4j-core/pom.properties","CVE-2021-44228","USBLND0150","org/apache/logging/log4j/core/lookup/JndiLookup.class"
"False",,"C:\Program Files (x86)\Arduino\lib\pde.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\rsyntaxtextarea-3.0.3-SNAPSHOT.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\slf4j-api-1.7.22.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\slf4j-simple-1.7.22.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\xml-apis-1.3.04.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\xml-apis-ext-1.3.04.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\lib\xmlgraphics-commons-2.0.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Arduino\tools\WiFi101\tool\WiFi101.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\cache\CNAarchive.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\access-1.62\access-bridge.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\access-1.62\jaccess.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\appdata-1.62\premerge.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\i18n-1.62\i18n.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\access-bridge-32.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\access-bridge.jar",,,"False","False",,,"USBLND0150",
